t,conf,xyxy
0,0.5355377,"[0,262,40,314]"
10,0.5117386,"[0,261,39,314]"
20,0.5475066,"[74,216,106,243]"
30,0.4255974,"[144,174,180,212]"
40,0.43245792,"[169,130,266,199]"
50,0.43415368,"[0,165,204,319]"
60,0.5892892,"[32,175,70,216]"
70,0.40934575,"[17,190,59,232]"
80,0.55542207,"[99,142,192,206]"
90,0.45611688,"[61,200,199,310]"
100,0.44072175,"[62,202,98,239]"
110,0.38005883,"[104,212,152,257]"
120,0.4322276,"[336,258,377,305]"
130,0.4432859,"[325,194,377,244]"
140,0.61305237,"[319,184,370,234]"
150,0.45149755,"[38,112,138,216]"
160,0.50293225,"[0,10,272,263]"
170,0.42843887,"[292,163,348,215]"
180,0.5602967,"[278,158,335,208]"
190,0.56230175,"[277,153,333,210]"
200,0.54275626,"[279,157,335,212]"
210,0.42670834,"[233,217,292,290]"
220,0.5498329,"[326,229,376,277]"
230,0.6113,"[78,164,109,191]"
240,0.62424505,"[128,236,234,318]"
250,0.65694106,"[158,238,247,319]"
260,0.704201,"[176,226,258,314]"
270,0.634081,"[182,227,260,306]"
280,0.7952196,"[215,239,305,318]"
290,0.61413485,"[154,226,247,317]"
300,0.47724214,"[113,152,145,178]"
310,0.40831417,"[157,266,229,319]"
320,0.41125357,"[166,241,235,307]"
330,0.3992988,"[184,215,253,282]"
340,0.4318968,"[178,198,250,268]"
350,0.4232067,"[176,195,247,265]"
360,0.50103927,"[267,121,317,172]"
370,0.3864146,"[0,140,55,190]"
380,0.4180681,"[266,117,317,170]"
390,0.4073092,"[9,183,70,263]"
400,0.4368708,"[367,155,425,240]"
410,0.4403648,"[270,107,324,162]"
420,0.43097368,"[272,110,324,164]"
430,0.4596693,"[172,192,247,265]"
440,0.4431884,"[170,196,247,271]"
450,0.45581055,"[268,112,322,167]"
460,0.45810756,"[167,197,244,273]"
470,0.41621926,"[0,144,43,192]"
480,0.46351898,"[136,215,223,309]"
490,0.6442013,"[56,152,97,197]"
500,0.573755,"[127,197,217,279]"
510,0.64758927,"[157,168,234,237]"
520,0.58243495,"[163,176,236,243]"
530,0.5981413,"[165,194,246,268]"
540,0.6952801,"[262,278,303,318]"
550,0.6091301,"[173,211,257,291]"
560,0.6427148,"[187,217,274,297]"
570,0.6342785,"[223,273,325,319]"
580,0.5619471,"[258,193,366,281]"
590,0.39826617,"[175,259,258,319]"
600,0.42497006,"[167,243,243,315]"
610,0.41853186,"[177,213,258,289]"
620,0.4445629,"[282,113,336,169]"
630,0.45717883,"[286,106,337,163]"
640,0.47098032,"[281,105,336,163]"
650,0.37512398,"[0,164,61,252]"
660,0.5187153,"[276,103,331,161]"
670,0.578337,"[272,108,326,164]"
680,0.4096111,"[105,189,187,290]"
690,0.44496933,"[62,132,106,177]"
700,0.4963207,"[120,206,216,298]"
710,0.5361301,"[164,182,249,260]"
720,0.6655196,"[180,175,258,248]"
730,0.6902971,"[83,185,118,218]"
740,0.7155422,"[90,184,126,219]"
750,0.5827878,"[230,196,298,264]"
760,0.46321383,"[274,155,330,212]"
770,0.54001695,"[67,138,109,176]"
780,0.6289247,"[86,122,138,168]"
790,0.73337686,"[72,146,138,209]"
800,0.56434125,"[35,187,113,271]"
810,0.4900197,"[2,210,78,304]"
820,0.45400324,"[335,106,420,178]"
830,0.4422198,"[126,105,210,233]"
840,0.4368195,"[0,238,58,318]"
850,0.54900557,"[194,193,323,247]"
860,0.35869262,"[234,224,262,242]"
870,0.38186795,"[229,236,255,252]"
880,0.37664366,"[330,149,409,218]"
890,0.4095349,"[369,158,424,245]"
900,0.45141253,"[239,121,273,142]"
910,0.42524517,"[350,58,425,133]"
920,0.55530965,"[0,190,41,286]"
930,0.52534235,"[372,145,425,235]"
940,0.5304823,"[279,101,339,162]"
950,0.50085074,"[386,156,424,247]"
960,0.5268649,"[1,194,65,288]"
970,0.4424458,"[288,119,346,178]"
980,0.526798,"[108,133,155,184]"
990,0.45212656,"[275,121,333,180]"
1000,0.45058694,"[369,159,425,242]"
1010,0.39944863,"[353,154,425,238]"
1020,0.42426988,"[230,166,261,185]"
1030,0.43954864,"[82,135,127,184]"
1040,0.41157034,"[81,133,127,181]"
1050,0.3780719,"[229,160,259,181]"
1060,0.44268256,"[232,178,262,197]"
1070,0.42743537,"[65,159,372,319]"
1080,0.4074423,"[235,179,264,199]"
1090,0.41006285,"[357,178,425,261]"
1100,0.47105893,"[362,183,425,269]"
1110,0.49131644,"[0,220,59,307]"
1120,0.480158,"[268,160,321,214]"
1130,0.39217687,"[1,144,64,207]"
1140,0.5010301,"[61,194,125,266]"
1150,0.6229148,"[77,190,144,260]"
1160,0.43783233,"[54,198,117,266]"
1170,0.4418642,"[336,159,420,223]"
1180,0.40344676,"[0,219,56,288]"
1190,0.4587067,"[192,164,245,211]"
1200,0.38071373,"[251,133,326,187]"
1210,0.419144,"[148,167,192,212]"
1220,0.50526583,"[125,185,170,231]"
1230,0.50513726,"[205,160,297,218]"
1240,0.42809784,"[211,165,310,225]"
1250,0.35194272,"[307,194,363,243]"
1260,0.6391358,"[94,176,140,224]"
1270,0.5062146,"[75,170,122,218]"
1280,0.5350041,"[228,191,347,290]"
1290,0.48529828,"[68,124,111,187]"
1300,0.5387531,"[209,180,245,208]"
1310,0.58476794,"[124,204,189,266]"
1320,0.5537588,"[112,223,193,305]"
1330,0.51170576,"[112,249,216,318]"
1340,0.5068874,"[136,177,249,283]"
1350,0.7320076,"[113,64,162,113]"
1360,0.64757955,"[110,69,159,119]"
1370,0.6940856,"[116,83,163,131]"
1380,0.68377846,"[89,99,136,146]"
1390,0.5585669,"[162,115,281,236]"
1400,0.612211,"[33,87,81,138]"
1410,0.7556536,"[153,131,273,246]"
1420,0.64880437,"[138,102,281,249]"
1430,0.59762174,"[133,127,282,276]"
1440,0.6142446,"[144,148,273,279]"
1450,0.6268795,"[151,145,270,261]"
1460,0.6572491,"[157,134,256,217]"
1470,0.6769408,"[157,129,244,208]"
1480,0.7260462,"[151,136,232,208]"
1490,0.6951532,"[151,145,227,212]"
1500,0.7003156,"[160,140,235,204]"
1510,0.64243156,"[165,132,242,198]"
1520,0.6997049,"[157,121,238,190]"
1530,0.6693121,"[154,121,236,191]"
1540,0.7020621,"[149,115,233,187]"
1550,0.64542216,"[126,93,210,163]"
1560,0.70333254,"[99,68,183,138]"
1570,0.69977915,"[90,49,178,123]"
1580,0.6852602,"[115,47,205,119]"
1590,0.69937104,"[123,47,213,118]"
1600,0.69038755,"[114,26,210,101]"
1610,0.6832862,"[110,47,201,122]"
1620,0.69598275,"[114,57,208,136]"
1630,0.70156616,"[110,62,206,145]"
1640,0.65185606,"[107,63,208,152]"
1650,0.7483885,"[115,76,212,160]"
1660,0.7079399,"[116,78,214,164]"
1670,0.77614236,"[111,51,215,138]"
1680,0.7844235,"[118,57,220,144]"
1690,0.77266264,"[121,57,223,143]"
1700,0.7024051,"[123,73,217,152]"
1710,0.5774965,"[124,70,217,147]"
1720,0.6713568,"[124,58,220,138]"
1730,0.68356663,"[124,58,219,136]"
1740,0.7104499,"[128,62,223,139]"
1750,0.6788708,"[128,63,223,141]"
1760,0.7136361,"[127,63,221,139]"
1770,0.66616976,"[128,57,222,134]"
1780,0.6072644,"[175,78,263,151]"
1790,0.6967394,"[194,109,276,179]"
1800,0.5075547,"[150,119,231,186]"
1810,0.7036388,"[78,138,156,207]"
1820,0.7167181,"[78,143,156,210]"
1830,0.615106,"[113,112,194,182]"
1840,0.61359715,"[135,93,221,164]"
1850,0.71028394,"[142,62,236,139]"
1860,0.6815812,"[140,8,248,89]"
1870,0.78461635,"[129,4,236,82]"
1880,0.7329264,"[116,9,214,81]"
1890,0.7738027,"[129,9,226,78]"
1900,0.74641305,"[151,30,248,102]"
1910,0.7839752,"[150,2,263,84]"
1920,0.6387638,"[129,0,255,30]"
1930,0.59858197,"[132,0,240,15]"
1940,0.6742053,"[130,0,262,35]"
